filename;Mean CoM Fore Aft;StDev CoM Fore Aft;Mean CoM Width;StDev CoM Width;Mean CoM Height;StDev CoM Height;Mean Walking Speed;Mean Stride Width;mean of stride length;Mean Base of Support
S29A03T02.csv;-0.69658935546875;31.390134061635763;30.747615356445312;20.028394606747668;46.68544921875;39.025214489004355;26.198686098367933;125.05320617675781;34.22305313110351;125.96011779785157
S29A03T03.csv;0.1999148414248512;31.036086124447888;35.79710978553409;30.569360696979267;41.99709937686012;22.887947547654505;32.64950923463269;123.82501402355376;30.684497742425826;122.50241234188988
S29A06T02.csv;2.774264865451389;27.546361887246483;15.611981285942925;10.56433024643435;26.890604654947918;16.01931735600345;19.30506445425435;141.96102905273438;12.888569407992893;138.18028767903647
S29A06T03.csv;-2.158841219815341;29.062581193209752;20.384341153231535;13.550900925367984;26.791384610262785;15.395825872109917;19.569109988992178;125.43633963844992;14.489350752397018;113.03065039894797
S29A06T04.csv;4.2729270241477275;25.030444815081346;21.222482854669746;9.359152881325587;33.99835759943182;16.51902672474918;21.588433772416177;140.36249958385122;29.699222564697266;138.23000266335228
S29A06T05.csv;-7.381855487823486;26.88520551436582;39.258270263671875;49.19359442622466;28.36004638671875;20.996503095628597;24.465521226152344;146.34733963012695;47.98617696762085;149.60528945922852
S29A07T03.csv;-8.020685831705729;34.73100808964348;21.40585708618164;4.799518618284697;28.986328125;9.34766385675014;25.997325868534862;146.15499877929688;39.39769299825033;148.0415407816569
S29A08T01.csv;-2.566645304361979;445.19177811332634;317.70745340983075;215.7307034126371;57.40587361653646;23.46772313520796;596.3362888702559;119.642822265625;103.66143639882405;170.19267209370932
S29A08T02.csv;-7.4003550211588545;404.2799931685367;313.2347183227539;240.84875710831406;40.01628621419271;10.463291681122826;574.6950933547571;115.8956184387207;121.38229433695476;175.76681486765543
S29A08T03.csv;1.7470203746448865;433.56007000679176;337.99283114346593;171.2342399283904;46.23963512073863;7.733743380529076;595.465812890735;239.04153164950284;164.33727403120562;178.65459025989878
S29A08T04.csv;-8.915463534268467;434.2241473753078;290.464150168679;161.17433042811206;45.95215398615057;14.1869008230411;641.3804346921445;156.90259343927556;63.152801513671875;176.42699432373047
